                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.0454,                 3.0142,                 1.2695,                 0.5645,                0.07168,                0.07775,                0.03607,                 1.9622,                 2.3241,                 1.1204,              0.0032927,              0.0032927,              0.0032927
                      2,                 1.9482,                 1.9335,                 1.1794,                0.50803,                0.08518,                0.06092,                0.02804,                 2.0827,                 2.0523,                  1.182,              0.0066042,              0.0066042,              0.0066042
                      3,                   1.97,                 1.8784,                 1.1744,                0.50512,                0.07955,                0.05391,                0.02293,                 2.2515,                 2.2525,                 1.2426,              0.0098936,              0.0098936,              0.0098936
                      4,                 1.9834,                   1.86,                 1.1787,                 0.5196,                0.09669,                0.07424,                0.03425,                 2.0787,                 2.0181,                 1.1717,               0.009901,               0.009901,               0.009901
                      5,                 1.9562,                 1.7924,                  1.167,                0.56712,                0.10927,                0.09871,                0.04801,                 1.9144,                 2.1218,                 1.0924,               0.009901,               0.009901,               0.009901
                      6,                 1.9184,                 1.7186,                 1.1492,                0.55381,                0.11499,                0.09796,                0.04803,                 1.9018,                 1.8391,                 1.0984,               0.009868,               0.009868,               0.009868
                      7,                 1.8938,                 1.6695,                 1.1458,                0.55806,                0.12226,                0.11193,                  0.055,                 1.9594,                 2.0989,                 1.0944,               0.009835,               0.009835,               0.009835
                      8,                 1.8733,                 1.6291,                 1.1375,                0.45697,                0.13207,                0.12926,                0.06602,                 1.8407,                 1.5964,                 1.0634,               0.009802,               0.009802,               0.009802
                      9,                 1.8648,                 1.6032,                 1.1309,                0.39067,                0.13244,                0.12779,                0.06729,                 1.8225,                 1.7155,                 1.0507,               0.009769,               0.009769,               0.009769
                     10,                 1.8557,                 1.5721,                 1.1242,                0.31464,                 0.1402,                0.12527,                 0.0644,                 1.8755,                 1.6398,                 1.0628,               0.009736,               0.009736,               0.009736
                     11,                 1.8278,                 1.5373,                 1.1148,                0.39087,                0.14656,                0.15232,                0.07761,                 1.8151,                 1.4892,                  1.045,               0.009703,               0.009703,               0.009703
                     12,                 1.8153,                 1.5127,                 1.1104,                0.37223,                0.15382,                0.14194,                0.07403,                 1.7781,                 1.4919,                 1.0405,                0.00967,                0.00967,                0.00967
                     13,                 1.8073,                 1.4868,                 1.1101,                 0.3441,                0.19792,                0.16131,                0.08315,                 1.7539,                 1.4192,                 1.0282,               0.009637,               0.009637,               0.009637
                     14,                  1.794,                 1.4701,                 1.1087,                0.35724,                0.16457,                0.17318,                0.08815,                 1.8083,                 1.5211,                 1.0351,               0.009604,               0.009604,               0.009604
                     15,                 1.7882,                 1.4584,                  1.102,                0.36533,                0.17087,                0.17965,                0.09358,                 1.7571,                 1.4534,                 1.0224,               0.009571,               0.009571,               0.009571
                     16,                 1.7782,                 1.4302,                 1.0954,                0.43549,                0.17426,                0.17784,                0.09312,                 1.7516,                 1.4979,                 1.0283,               0.009538,               0.009538,               0.009538
                     17,                 1.7806,                 1.4317,                 1.0963,                0.37519,                0.17368,                0.16477,                0.08397,                 1.7544,                 1.4848,                 1.0316,               0.009505,               0.009505,               0.009505
                     18,                 1.7695,                 1.4123,                 1.0935,                0.34551,                0.21601,                0.19748,                0.10424,                 1.6848,                 1.5294,                 1.0083,               0.009472,               0.009472,               0.009472
                     19,                 1.7629,                 1.3907,                 1.0904,                0.37295,                0.19652,                0.18484,                0.09787,                 1.7066,                 1.3692,                  1.016,               0.009439,               0.009439,               0.009439
                     20,                 1.7594,                 1.3807,                 1.0875,                0.32875,                0.24248,                0.20234,                0.10892,                 1.6556,                 1.3608,                 1.0064,               0.009406,               0.009406,               0.009406
                     21,                 1.7419,                 1.3625,                 1.0831,                0.32553,                0.23411,                0.19866,                0.10363,                 1.6807,                 1.3362,                 1.0122,               0.009373,               0.009373,               0.009373
                     22,                 1.7472,                 1.3649,                  1.084,                0.32759,                0.23651,                0.20344,                0.10732,                 1.6449,                 1.3467,                0.99838,                0.00934,                0.00934,                0.00934
                     23,                 1.7459,                 1.3575,                 1.0816,                  0.353,                0.23567,                0.21037,                0.11239,                 1.6457,                 1.2594,                0.99576,               0.009307,               0.009307,               0.009307
                     24,                 1.7348,                 1.3408,                 1.0752,                0.30393,                0.23599,                0.19431,                 0.1017,                 1.6981,                 1.3092,                 1.0125,               0.009274,               0.009274,               0.009274
                     25,                  1.723,                 1.3304,                 1.0759,                 0.3267,                0.25595,                0.21938,                0.11716,                 1.6273,                 1.1816,                0.98596,               0.009241,               0.009241,               0.009241
                     26,                 1.7233,                  1.324,                 1.0751,                0.35203,                0.24285,                0.21502,                0.11386,                 1.6361,                 1.2523,                0.99369,               0.009208,               0.009208,               0.009208
                     27,                 1.7251,                 1.3228,                 1.0738,                 0.3422,                0.23312,                0.20784,                 0.1075,                 1.6794,                  1.267,                0.99936,               0.009175,               0.009175,               0.009175
                     28,                 1.7145,                 1.3006,                 1.0706,                0.35265,                0.24879,                0.21821,                0.11626,                 1.6512,                 1.2058,                0.99124,               0.009142,               0.009142,               0.009142
